entry_time,exit_time,direction,entry,sl,tp,exit_price,pnl,result,risk_pts,month
2025-01-11 12:25:00+00:00,2025-01-11 12:30:00+00:00,BUY,94602.0,94502.0,94752.0,94502.0,-100.0,SL,100.0,2025-01
2025-01-11 13:05:00+00:00,2025-01-11 13:20:00+00:00,SELL,94483.0,94583.0,94333.0,94333.0,150.0,TP,100.0,2025-01
2025-01-11 15:15:00+00:00,2025-01-11 16:05:00+00:00,SELL,94432.0,94532.0,94282.0,94282.0,150.0,TP,100.0,2025-01
2025-01-11 18:10:00+00:00,2025-01-11 19:30:00+00:00,BUY,94198.5,94098.5,94348.5,94098.5,-100.0,SL,100.0,2025-01
2025-01-11 23:15:00+00:00,2025-01-11 23:20:00+00:00,SELL,94521.0,94621.0,94371.0,94621.0,-100.0,SL,100.0,2025-01
2025-01-12 00:45:00+00:00,2025-01-12 01:20:00+00:00,SELL,94431.0,94531.0,94281.0,94281.0,150.0,TP,100.0,2025-01
2025-01-12 03:15:00+00:00,2025-01-12 03:55:00+00:00,SELL,94483.0,94583.0,94333.0,94583.0,-100.0,SL,100.0,2025-01
2025-01-12 04:20:00+00:00,2025-01-12 04:50:00+00:00,BUY,94564.0,94464.0,94714.0,94464.0,-100.0,SL,100.0,2025-01
2025-01-12 05:35:00+00:00,2025-01-12 06:50:00+00:00,SELL,94479.5,94579.5,94329.5,94329.5,150.0,TP,100.0,2025-01
2025-01-12 09:20:00+00:00,2025-01-12 09:30:00+00:00,SELL,94067.0,94167.0,93917.0,93917.0,150.0,TP,100.0,2025-01
2025-01-12 10:20:00+00:00,2025-01-12 10:45:00+00:00,SELL,93851.5,93951.5,93701.5,93951.5,-100.0,SL,100.0,2025-01
2025-01-12 12:10:00+00:00,2025-01-12 12:20:00+00:00,BUY,94310.5,94210.5,94460.5,94460.5,150.0,TP,100.0,2025-01
2025-01-12 13:10:00+00:00,2025-01-12 13:20:00+00:00,BUY,94439.5,94339.5,94589.5,94589.5,150.0,TP,100.0,2025-01
2025-01-12 13:50:00+00:00,2025-01-12 14:05:00+00:00,BUY,94664.0,94564.0,94814.0,94814.0,150.0,TP,100.0,2025-01
2025-01-12 15:15:00+00:00,2025-01-12 15:20:00+00:00,BUY,94942.5,94942.5,95092.5,95092.5,150.0,TP,0.0,2025-01
2025-01-12 16:00:00+00:00,2025-01-12 16:05:00+00:00,BUY,95089.0,94989.0,95239.0,94989.0,-100.0,SL,100.0,2025-01
2025-01-12 19:45:00+00:00,2025-01-12 19:50:00+00:00,SELL,94685.0,94785.0,94535.0,94535.0,150.0,TP,100.0,2025-01
2025-01-12 20:45:00+00:00,2025-01-12 21:15:00+00:00,SELL,94605.5,94705.5,94455.5,94455.5,150.0,TP,100.0,2025-01
2025-01-13 02:40:00+00:00,2025-01-13 02:50:00+00:00,SELL,94051.5,94151.5,93901.5,93901.5,150.0,TP,100.0,2025-01
2025-01-13 05:25:00+00:00,2025-01-13 05:35:00+00:00,SELL,94240.0,94340.0,94090.0,94090.0,150.0,TP,100.0,2025-01
2025-01-13 05:45:00+00:00,2025-01-13 05:50:00+00:00,SELL,94060.5,94160.5,93910.5,94160.5,-100.0,SL,100.0,2025-01
2025-01-13 10:55:00+00:00,2025-01-13 11:00:00+00:00,BUY,91751.5,91651.5,91901.5,91651.5,-100.0,SL,100.0,2025-01
2025-01-13 13:05:00+00:00,2025-01-13 13:10:00+00:00,BUY,91314.5,91214.5,91464.5,91214.5,-100.0,SL,100.0,2025-01
2025-01-13 14:30:00+00:00,2025-01-13 14:35:00+00:00,SELL,90620.5,90620.5,90470.5,90470.5,150.0,TP,0.0,2025-01
2025-01-13 16:40:00+00:00,2025-01-13 16:45:00+00:00,BUY,92042.0,91942.0,92192.0,91942.0,-100.0,SL,100.0,2025-01
2025-01-13 17:10:00+00:00,2025-01-13 17:15:00+00:00,BUY,91933.5,91833.5,92083.5,91833.5,-100.0,SL,100.0,2025-01
2025-01-13 19:15:00+00:00,2025-01-13 19:20:00+00:00,SELL,91805.5,91905.5,91655.5,91655.5,150.0,TP,100.0,2025-01
2025-01-13 20:30:00+00:00,2025-01-13 20:35:00+00:00,BUY,92367.5,92267.5,92517.5,92517.5,150.0,TP,100.0,2025-01
2025-01-13 23:35:00+00:00,2025-01-13 23:40:00+00:00,BUY,94416.0,94316.0,94566.0,94316.0,-100.0,SL,100.0,2025-01
2025-01-14 00:15:00+00:00,2025-01-14 00:20:00+00:00,BUY,94515.5,94415.5,94665.5,94665.5,150.0,TP,100.0,2025-01
2025-01-14 01:05:00+00:00,2025-01-14 01:10:00+00:00,BUY,94721.5,94621.5,94871.5,94871.5,150.0,TP,100.0,2025-01
2025-01-14 02:50:00+00:00,2025-01-14 03:00:00+00:00,SELL,94825.0,94925.0,94675.0,94925.0,-100.0,SL,100.0,2025-01
2025-01-14 04:00:00+00:00,2025-01-14 04:10:00+00:00,BUY,94944.0,94844.0,95094.0,95094.0,150.0,TP,100.0,2025-01
2025-01-14 05:35:00+00:00,2025-01-14 05:40:00+00:00,SELL,95066.5,95166.5,94916.5,95166.5,-100.0,SL,100.0,2025-01
2025-01-14 06:35:00+00:00,2025-01-14 07:00:00+00:00,BUY,94885.0,94785.0,95035.0,95035.0,150.0,TP,100.0,2025-01
2025-01-14 08:05:00+00:00,2025-01-14 08:10:00+00:00,BUY,95075.0,95075.0,95225.0,95225.0,150.0,TP,0.0,2025-01
2025-01-14 12:00:00+00:00,2025-01-14 12:05:00+00:00,BUY,96661.0,96561.0,96811.0,96561.0,-100.0,SL,100.0,2025-01
2025-01-14 12:55:00+00:00,2025-01-14 13:05:00+00:00,SELL,95959.5,96059.5,95809.5,96059.5,-100.0,SL,100.0,2025-01
2025-01-14 13:30:00+00:00,2025-01-14 13:35:00+00:00,BUY,96003.5,96003.5,96153.5,96153.5,150.0,TP,0.0,2025-01
2025-01-14 13:45:00+00:00,2025-01-14 13:50:00+00:00,BUY,96564.0,96464.0,96714.0,96464.0,-100.0,SL,100.0,2025-01
2025-01-14 14:45:00+00:00,2025-01-14 14:50:00+00:00,SELL,96518.0,96618.0,96368.0,96618.0,-100.0,SL,100.0,2025-01
2025-01-14 19:15:00+00:00,2025-01-14 19:20:00+00:00,BUY,96918.0,96818.0,97068.0,96818.0,-100.0,SL,100.0,2025-01
2025-01-14 23:10:00+00:00,2025-01-14 23:15:00+00:00,SELL,96531.0,96631.0,96381.0,96631.0,-100.0,SL,100.0,2025-01
2025-01-15 00:05:00+00:00,2025-01-15 00:10:00+00:00,BUY,96741.0,96641.0,96891.0,96641.0,-100.0,SL,100.0,2025-01
2025-01-15 03:10:00+00:00,2025-01-15 03:15:00+00:00,BUY,97051.0,96951.0,97201.0,96951.0,-100.0,SL,100.0,2025-01
2025-01-15 05:05:00+00:00,2025-01-15 05:10:00+00:00,SELL,97035.0,97135.0,96885.0,96885.0,150.0,TP,100.0,2025-01
2025-01-15 06:25:00+00:00,2025-01-15 06:40:00+00:00,SELL,96836.0,96936.0,96686.0,96936.0,-100.0,SL,100.0,2025-01
2025-01-15 08:25:00+00:00,2025-01-15 08:45:00+00:00,BUY,97375.0,97275.0,97525.0,97275.0,-100.0,SL,100.0,2025-01
2025-01-15 09:25:00+00:00,2025-01-15 09:30:00+00:00,SELL,97123.5,97223.5,96973.5,96973.5,150.0,TP,100.0,2025-01
2025-01-15 10:25:00+00:00,2025-01-15 10:55:00+00:00,BUY,97010.0,96910.0,97160.0,96910.0,-100.0,SL,100.0,2025-01
2025-01-15 12:00:00+00:00,2025-01-15 12:05:00+00:00,SELL,96614.5,96714.5,96464.5,96714.5,-100.0,SL,100.0,2025-01
2025-01-15 13:15:00+00:00,2025-01-15 13:20:00+00:00,SELL,96854.5,96954.5,96704.5,96954.5,-100.0,SL,100.0,2025-01
2025-01-15 15:25:00+00:00,2025-01-15 15:30:00+00:00,BUY,99601.0,99501.0,99751.0,99501.0,-100.0,SL,100.0,2025-01
2025-01-15 16:30:00+00:00,2025-01-15 16:35:00+00:00,SELL,98942.0,99042.0,98792.0,99042.0,-100.0,SL,100.0,2025-01
2025-01-15 19:35:00+00:00,2025-01-15 19:40:00+00:00,BUY,99501.0,99401.0,99651.0,99401.0,-100.0,SL,100.0,2025-01
2025-01-15 21:50:00+00:00,2025-01-15 21:55:00+00:00,BUY,99751.5,99651.5,99901.5,99651.5,-100.0,SL,100.0,2025-01
